baby 啤啤	婴儿。
凑细路	带小孩，看着小孩子
凑跷kiu2	碰巧。
几丁人	就那么儿个人
几下手脚	指快速，三几下就完成了，也说成「几下手势」
几丑下	长得一点也不漂亮
几乔	[注]指「很巧合」，例：成日撞到你，都几乔噃（撞：遇上）。
几乖	挺乖的
几仔乸	母子几个人
几伤	损失挺大的
几兴	①挺兴奋的②挺流行的[注]两个「兴」字读音不同。①涉及性前期望之兴奋，例：嗰西佬搞到我几兴下,就走咗去（那S女人撩起了我兴头就走了）③（水）很烫，例：啲水咁兴,叫我点饮啊！
几冧	感觉良好[注]多指男女之间感觉良好，令到某人沉迷于另一个。
几劲	挺厉害的，挺卖力的。
几味	做了几个菜
几咁好	挺好的
几咁閒	①没什么事做，空閒时间多②何等容易，尤其在拍胸脯时说得十分豪爽。
几唔好老皮	他这个人脾气很坏，动不动就骂人。
几啦	一般啦；多多少少啦；普普通通啦[注]仅后生仔女讲。
几多下	都挺多的
几多斤两	掂掂自己有多少本事，多大的能耐。
几大	①硬著头皮上②多少岁
几大就几大	豁出去了什么也不管了。
几大就几大，烧卖就烧卖	比喻豁出去了
几大抓实	使劲地、拼命地抓好，抓牢。
几大都	无论如何都
几大镬	这事挺严重的
几好	挺好的
几定	从容、镇定
几尽	很过份[注]例：使唔使玩到咁尽啊=①（玩乐时）要不要玩得那么过分/疲劳啊②（报复情形）要不要做得那么过份啊。
几平	价钱便宜
几廿岁	几十岁了。
几得人惊	挺让人担心、害怕的
几快	行动迅速
几急	有点急
几惨	挺倒楣的[注]越来越少听「几惨情」
几惯	比较习惯
几掂下	①混得不错②生意做得挺好的
几时	什么时候
几时几日	何时何日，什么时候
几时系	哪里是
几时话	什么时候说的
几时话过	什么时候说过
几有我心	他也挺关心我，惦记我的。
几有谂头	他的脑袋挺好使的，经常想出些好办法来
几步脚	差那么几步就到了
几绝	①想法、做法与众不同②非常好；无得弹（多用于贬义[注]例：条窍几绝（这个计谋非常历害，不给人留下后路）
几耐	时间挺长的
几耐世纪	形容很久很久以前
几茅	手段有点脏[注]（打牌时）几茅拉：很，说话不算数，主指手段不光明
几虾人	挺考人的
几贵	挺贵的
几醒	挺机灵的
几靓	挺漂亮的
几鬼马	鬼点子挺多的人。
凹凹凸凸	坑坑洼洼
出世纸	①出生证明书②指产品出厂证，合格证
出乜符弗	看他想些什么旁门邪道
出位	①想尽办法引人注目②脱颖而出
出住先	先垫一些钱出来
出便	外出、外头
出公数	费用出在公家的账上报销。
出千	施展骗术
出去滚	①骗这个骗那个②干一些见不得人的事
出去蒲	不务正业，整天出入娱乐场所
出味	熬长一点时间，让菜味道好一点
出咗头	帮你争了一口气，出了头。
出咗街	①出了门②上街逛
出唔倒术	没有机会去实施，没有什么作为
出啖气	出了一口气
出嚟行	指有帮派色彩的人出来混
出土文物——老古董	形容那些不接受新鲜事物、食古不化的人
出宠	麻将术语，打的牌被別人糊了
出年	明年
出彩	冒尖
出得厅堂，入得厨房	形容某些妇女里里外外一把手
出恭	大便
出把戏	①指玩戏法，变魔术②耍手段，出诡计。
出数	归还债务
出晒烟	形容丑事已被曝光
出晒面	比喻帮別人帮得很过分
出更	警察上班了，去巡逻[注]反义词：（的士司机、警察）收更。
出术	用掩人耳目的把戏来骗人
出水	烹调前先用水煮一下
出炉铁——唔打唔得	铁是越打越成材，这句话常被对孩子进行棍棒教育的家长借用
出烟	①冒起烟②出问题被发现了
出猫	①弄虚作假②赌场出千骗人
出界	①出边线②出了底线
出省城	指到广州去玩
出矛招	出一些不合常规、愚弄人的招数
出粮	发薪水
出老千	耍花招，使用欺骗的手段去骗人
出蛊惑	耍滑头，出古怪主意，弄些邪门的主意
出行力	想尽办法，使劲帮忙
出街	山门、上街
出计仔	想方设法出计谋
出门看天色，入门看面色	出门要看看是否需要带雨伞，进门时则要看看每个人的脸色，做到心中有数。
出门问路，入乡问俗	谓每到一地，都要瞭解当地的风俗民情。
刀仔锯大树	比喻用坚韧不拔的精神战胜比自己强大的敌人
分分钟	时时刻刻，随时
分柑同味	比喻有福同享
分赃唔匀打死人	在一个集体中分配财物，最好的方法是平均主义，不然会闹出人命来
分身家	分家，分财产
切奶	婴儿断奶
切肉不离皮	形容父子、母女亲缘关系密切
切菜刀剃头——牙烟	形容太过悬乎，太过危险
刉（㓤）亲	被尖异物刺了一下
刉（㓤）穿	刺穿了
划界	把界线画出来
划花	刮了一点痕迹
则便	一边、旁边
则咗	歪了一点
则跟	旁边
初初	起初
初哥	新手，第一次尝试
初嚟暴到	有新人来报到，肯定是没啥经验的。
初来暴到，唔知锅灶	指新人不懂得规矩，但凡事都有个认识过程，慢慢就会走上正轨
別人的龙床，不及己狗窦	我们都会有这个感受，即使住星级宾馆也不像在家那样睡得安稳、踏实
刮亲	皮肤擦伤了一点皮
刮倒佢	①被风或其他东西刮了他②终于找到了他
刮倒料	搜集到一些有用的信息，材料
刮刮埋埋	形容老板克扣工人工资、奖金，赚了不少黑心钱
刮地皮	搜刮地皮，套取钱财。
刮料	打探消急
刮花	刮破了一点油漆
刮龙	捞取、盘剥不义之钱财。
到其时	到时，到那个时候
到喉唔到肺	①吃的东西还是解决不了肚子的饥饿②还没做到点子上，解决不了根本问题。
到时到候	到时候，已经到时间了
到而家	到现在。
制住	被限制
制水	限制用水
剃头	理发
剃面	修面。
剃须	刮胡子
削嘢	①用刀削东西②明明答应人家的事，后来又反悔③食物稀软。
削胃	（食物）对胃液有伤害。
前一排	前段时间
前世	上一辈了
前世唔收	指做了这么多的坏事，上一世（佛家认为有前世）也不会收留
前便	前面
前嗰轮	前些日子。
前日	前天
剥光猪	①脱光衣服②被抢得一干二净③下象棋时自己的棋子被对方吃剩一只老帅。
剥光衫裤	扒下所有的衣服
剥皮田鸡——死都唔闭眼	田鸡即青蛙，比喻死不瞑目
剩低	剩下的，吃剩的
剩咗	剩了、多余的
割烂袋	公共汽车上，常有乘客被小偷割破袋子偷东西
割禾青	在赌桌上赢了一把就想走，赌徒当然不让你走
劈友	①打群架②黑社会拿刀去斩杀、斗殴
劈斜	找一此方法来避开霉运
劈炮	把工具一扔，不干了，即炒老板鱿鱼
劈酒	斗酒、酗酒
劏死牛	抢功无力抵抗者
劏猪噉嗌	像猪被杀时那样呱呱大叫。
劏白鹤	指喝醉了，吐了一地
力不到，不为财	做生意的要勤快才有财发。
力水	踢球时脚所发出力量的程度。
力水太大	踢球用的劲太大了。
功多自然成	劝谕人们要勤奋、肯下苦功自然就会成功。
功夫仔	指武功，拳术
功夫多	事情，活儿太多
功夫长过命	形容要干的活太多了，你这辈子也干不完，慢慢来吧
功底厚	形容基本功紥实，牢固
加加埋埋	把所有的东西、数目加在一起。
加咗	已经加了（工资）
加料	特別增加的材料
加码	增加不少的工作量
助理裁判员	在边上的裁判，协助主裁判工作
劲啲	①使劲些②带震撼的
劲射	指射门力气很大，强劲
劲歌	震撼性的歌
劳嘈	①牢骚②说话急躁而无条理
劳气	①唠叨②动气、生气
劳烦晒	客气话，有劳了，麻烦你了
劳碌命	指运气较差，时常要奔波，干苦力活
劳神	花费精神
势兇夹狼	暴徒的行为，兇残
势头唔对路	一看形势不对劲
勤力	①指用功读书，下功夫②勤劳、不偷顺
勤勤力力	①用功，勤奋②勤快、勤劳，不偷懒
勾佬	找野汉子
勾嘢	勾出各种图案
勾鼻佬	专指欧洲男子汉，因他们的鼻子带点勾。
匀巡	均匀
匀精zin1	太阳穴
包位	两三人包夹位置抢球
包保	保证、準保
包保冇事	保準什么事情也不会发生。
包冇甩拖	保準不会失约，不会放你飞机
包到陷	上上下下裹得严实
包剪𢱕	小孩游戏，即石头、剪子、布游戏
包埋	全都包好
包妥	保证办妥
包屘	最后一个
包屘	①跑在了最后②排在积分榜的最后面
包屘油	酒楼用语，炒好了菜之后放的油
包掂	保证搞好
包搞掂	什么都帮你办妥。
包撞板	这么干肯定会碰壁。
包租婆	二房东太太
包粟suk1	玉米
包豆豉	形容书刊过时卖不出去了，滞销，只好用来包豆豉。
包输	保準会输
包返位	及时地回来补位、补防
包陷	包围得较密
包顶颈	指喜欢抬杠、与人争辩的人
化学	①易烂、易碎②工作不认真，马虎
化灰都认得	对某人记恨，印象特別深，哪怕化成灰也认得出来
化骨龙	在多子女的家庭中，父母对孩子的戏谑。
北风吹皇帝——孤寒	皇帝常说自己是孤家，形容寒碜、吝音、小气。
匙羹	小勺子
医唔掂	治不好，无能为力
医得头来脚反筋	形容顾此失彼
医得返	病不重，能治好
医者唔自医	医生的儿子生病了一般不由自己开处方，而由別的医生治疗。
医返嘥药费	指个人受了重伤，即使治好了也会留下许多后遗症，浪费钱财
匿入房	躲到房间里去了
匿唔实	藏得不严，一会儿就给发现了
匿喺	藏在（这里）
匿埋	躲起来、藏起来。
匿埋先	先去躲一躲，避开一下
匿埋咗	已经藏了起来。
匿实	藏得很深，不容易找到。
十一哥	老土、老帽的代名词，因「十一」合而为土」，故称。
十万八千七	比喻相差得太远了
十三个月至出世——钝胎	指不正常，迟钝、愚蠢
十个光头九个富	民谣，还有一个万元户，聪明绝顶谓也
十个女仔，九个认细	女孩子不喜欢人家说她年龄老。年龄小，本钱大
十二点半钟——指天督地	意为发誓时常说对得住天地良心并用手向上指。
十二生肖	十二生肖中的动物与以农业为主的古人更是紧密相连，从广州方言的整理中我们也可以略知一二。在这些动物中出现较多的分別为「鸡」、「狗」、「牛」、「猪」，可以断定，这些「六畜」，在我们的日常生活中不可或缺。但是，奇怪得很，十二生肖中的「兔」和「羊」在粤语中保留很少。大概是这此动物来自北方，岭南一带的居民较少接触的缘故吧。而「猴」在广州方言中称为「马骝」,所以，顺理成章地把它归纳到马群里面去了。
十五十六	①心里乱糟糟的②七上八下的拿不定主意
十八廿二	通常指年轻的姑娘
十冤九仇	指仇深恨重。
十大以小为尊	保护幼小的良好体现
十字车	救护车的俗称
十对作家加十对将军——廿文廿武（舞）	形容耀武扬威的样子
十年唔逢一润	很长时间才有可能碰到的事
十戏九不同	戏谚。有矛盾冲突的戏才好看，十个戏剧个个不同才有个性，若都雷同还让人看什么
十成著九成	已经完成十分之九的任务
十指孖埋	十只手指粘在一起，比喻不会干活。
十指痛归心	十指连心，只要一只手指弄伤了，也会痛到心里。
十月桑叶——冇有菜（睬）	因为太老，所以无人理睬。
十月芥菜——起晒心	①芥菜老了会起心结种籽②形容动心，特指对异性动心
十月蔗——甜归屘	①太早收摘的蔗不甜②比喻好事后来。
十点半	扑克游戏，也叫「爆煲」。几个人与庄家对阵，A至10算自己的点数，J、Q、算半点，可要一张牌也可要五张牌，十点半最大，超过就算「爆煲」了，若五张牌加在一起还没到十一点，则赢五倍
十画未有一撇	①最基础的工作还没做好②只是随便讲讲而已
十赌九输	十个去赌场的人九个是要输掉的，劝谕人们不要嗜赌
十足	很；非常[注]同词「十足十」
十足十	形容完全相似。
十问九唔应	①问他没反应②不爱搭理人
千多得，万多谢	客气话，非常感谢。
千拣万拣，最后拣个烂灯盏	形容一些年轻女郎挑丈夫，千挑万挑也不满意，最后还是选择了个较差的
千祈	千万
千祈kei4咪走宝	千万不要错过了发财的好机会。
千祈咪制	千万不要答应。
千祈咪喐	千万不要乱动。
千祈咪见怪	有得罪的地方千万不要见怪。
千祈唔好	千万不要去干
升班	指上赛季获得了升级的机会，今年的赛季则成了「升班」
升降机	电梯旧称
半世人	半辈子
半个仙	半个铜板，形容极少的钱
半冧冚	做事、说话才到一半，还末完成
半咸淡	（说话）南腔北调
半唐番	指不中不西，不土不洋
半夜三更出世——亥时（害死）人	借谐音，谓气人、害人的东西
半夜摘茄瓜——唔分老嫩	指分不清老的小的，好的坏的。
半夜食黄瓜——唔知头尾	比喻不知道事情的来龙去脉
半夜鸡啼——唔知丑	①深夜l:00一3:00时为丑时。原指公鸡不知丑时在什么时候②现多比喻人不知羞耻。
半天吊	①上下够不著②两头不成事。
半条命	指体弱多病的人
半球波	赌波公司开出赔率，某队让某队半球
半男女	指两性人，阴阳人
卒之	终于、最终
卒仔	小兵
卒子	蟋蟀。
单丁	一个、单独
单人莫入庵	尼姑庵尽是女性，指一个大男人不要单独进去，以免引起別人的猜疑。
单刀	进攻队员已经过了所有的防守队员，形成面对守门员一对一的状况
单单丁	单独，孤独。
单单打打	暗地里经常讽刺、打击、报复。
单吊	打麻将吊眼，弄一对眼就可以糊了
单吊西	①打麻将用「西风」来吊眼②讽刺那些只有一件西装而又装阔的人
单声	给说一声
单对单	一对一，进攻一方面对守门员
单封	（布匹）单幅
单搥	指守门员用单拳把球打出去。
单料	单薄
单眼	独眼、一只眼
单眼仔	独眼龙，一只眼睛的人
单眼仔望老婆——一眼睇晒	参看「阿单看榜」一栏
单襟	单排纽扣
单起只眼	眯起一只眼来瞄準。
单身寡佬	形单影只，一个人吃饱了，全家不饿
单身寡老窦	指孤家寡人一个
单车	自行车、脚踏车
单边	只有一边
卖仔莫摸头	①自己的亲骨肉也卖掉，真的是人间悲剧②比喻痛惜不舍
卖剩蔗	卖剩的东西，比喻不会是好东西
卖剩鸭——嘈得最巴闭	形容某些人利益当前就会呱呱叫，尤其是自己排在最后时
卖口乖	嘴上答应给人好处，但是总不兌现
卖告白	指登广告，做广告。
卖大包	商店新开张，先卖一些物美价廉的东西以吸引人气做宣传
卖字号	商店靠名气做买卖，但货品并不一定好
卖布唔带尺——存心不量（良）	没有尺子怎样量布料？怎样做衣服？指存心不良。
卖报纸	①贩卖报刊②登在报上③散播宣扬
卖烂嘢	回收残旧的但还是有用的东西，卖废品
卖猪仔	①旧指唐人被卖到海外做苦力②现在一般指长途班车半路把客转卖给其他车
卖猫噉口	像王婆卖瓜那样一味地吹嘘。
卖甩我	故意甩开我
卖老抽	指球员的脚抽筋了。
卖花讚花香	所谓王婆卖瓜，自卖自夸
卖通街	我的货物美价廉，很好卖，满街都是
卖面光	替人说好话，以遮掩其错误的地方
卖鱼佬洗身——冇腥（声）气	卖鱼的人身上往往有一股腥味，比喻没希望了
南乳肉	指五香花生仁。
南北行	①商人的同业公会②经营国内外贸易的私人商行
南华李	李子中的佳品，因产于关曲江县的南华寺而得名
南风窗	指有港澳关系的人。港澳在广州的南面，以前回乡探亲的人会带些好吃的、紧缺的商品，好像南面吹来的风那样宜人。
博一博，有排我挥霍	许多买彩票的人心里都会默念这句话。
博一铺	试一下运气如何。
博下彩	赌一赌运气。
博下懵	想钻空子佔便宜
博乱	钻空子，乘机捞一把
博傻	趁人多杂乱获取不义之财
博和	由于水平比对方低了一个档次，就拼命守成平局。拿一分也蛮不错的
博大胆	赌一下胆识，胆量
博懵	①钻空子②矇骗人③佔便宜
博手	交手打架
博铺大	赌一盘大的
卜位	提早预约订位[注]多用于餐馆
卜佬冇文化，卖嘢卖高价	这是看不起农民兄弟的表现，城市人的通病
卜卜斋	旧时的私塾，因为体罚时用戒尺打手心发出「卜卜」的声音而得名。
卜卜脆	形容食品很脆
危危乎	①很快会坠落②十分危险，悬乎
即到	马上到
即刻	马上
即刻做	马上做
即刻射	马上射门
即刻扯	马上离开，消失
即刻收声	马上给我闭上嘴巴
即场	马上可以进场看（电影）
即席	在席上（发言）
即开	马上打开
即时嚟	马上过来。
即时嚟来	马上赶到。
即管	尽管
即管讲	尽管说
即系	就是
即系话	就是说
即食	一打开就可以吃
卸晒	（货物）全部卸完了
卸膊	①原指装卸工人把肩膀下的货卸下来。②比喻把责任推得一干二净
卸身	推卸责任
历嚟	历来
厉lai2转头	回过头，转过身去
厉lei3手掉咗	随于扔掉，表示十分嫌弃某样东西
厉真嘅	来真的、动真格
压住把火	拼命压着不发火、不生气
厚沓沓	很厚的样子。
厨房阶砖——咸咸湿湿（又咸又湿）	请参看「豉油樽积——咸湿」
去到咁尽	那么使劲、那么拼命
去到尽	形容工作十分投入，尽心尽力
去到尽	拼尽全力去争抢
去咗	①去了②去世了
去咗卖咸鸭蛋	形容某人去世多时了
去咗见周公	（他）睡着了。
去唔倒	防守严密打不进禁区里面
去定唔去	你到底去还是不去。
去晒	全都去了
去晒边	都上哪去了。
去滚	和不三不四的人做些见不得人的事
去蒲	去娱乐场所疯玩
去边	去哪里
去边度	去哪里
去都唔去	你连去一下都不去
去饮	去喝喜酒
又丑又恶	指相貌长得丑陋粗鲁，又兇巴巴的
又乜又物	又这个，又那个
又会噉嘅	怎么会弄成这样呢。
又再	再来一次
又呢又噜	又这样，又那样
又哩又噜，又姜又醋	谓絮絮不休。
又唔掂	又做不好，办坏了
又噉	又是这样
又嚟	又来
又好嬲，又好笑	怒其不争，笑其无知
又嬲又丑	又生气又害羞
又嬲又好笑	形容一方面生气，一方面又觉得可笑、好笑。
又嬲又惊	又生气又担心。
又屎又巴闭	技艺不高却要兴师动众
又屎又烂瘾	水平差劲但又瘾头很大
又屙又呕	大概吃错了东西，既拉肚子，又呕吐。
又平又靓	指商品价格又便宜，质量又好，即价廉物美
又掂	又成功一次
又推又㧬	争先恐后，不断推搡
又点话	①又有什么问题，又怎么样②毫不在乎，决不计较。
又痹又痕	身体又麻又痒
又窝咗	又弄糟了，搞不好
又肆嚟	又来了，再来
又肆嚟过	再来一次
又蠢又钝	又愚蠢又迟钝
又衰佐	又失败了，又倒楣了
又试	再尝试一次
又话	（他）又说
又话唔系	又说不是。
又话喺度	又说在这里，怎么不在
又话噉样	又说这样
又闷又热	指天气很闷热
又靓又叻	人长得既漂亮又聪明
又靓又省镜	称赞姑娘长得非常漂亮。
又靓咗	越长越漂亮了
又食又拎	到別人家又吃又拿
叉开只髀	坐在那，两腿分开，很难看
叉开第样	岔开话题
叉脚埋嚟	指插手某件事。
及弟粥	状元、榜眼、探花三及弟之谓也，指用猪肝、猪腰、猪肉煮的粥。
双拳难敌四手，四手不及人多	再有本事的人，也不可能一人打天下，比喻人们要团结好各方面的人材
双眼生喺头壳顶——唔将人放眼内	眼睛朝天，目中无人。
双门底卖古董——唔傍价	「双门底」位于北京路，以前这里有很多古董店，但都是漫天要价。
双鬼拍门	两位进攻球员一齐冲到门前寻找攻门机会
反斗	对着干，顽皮的，跳跳蹦蹦的。
反斗星	指小孩淘气、捣蛋
反晒面	跟他整个翻了脸
反水	反叛、背叛
反转便	睡觉时翻身，转身
反转猪肚就系屎	指忽然间背信弃义的人和事。
反面	翻脸
反骨	叛逆
反骨仔	指恩将仇报的人
发仔寒	说人想生儿子想得要命
发傻	呆呆的，发愣
发冷寒	得了寒证，浑身发冷
发到唔清唔楚	赚了很多钱自己却不清楚
发到唔清楚	发了多少财，自己也不太清楚
发咗	赚了不少钱
发咗癫	指患了精神病
发咗达	发了，飞黄腾达
发啷黎	指突然翻脸撒野，蛮横、发脾气
发噏风	瞎说、乱说，胡说八道
发大水	形容山洪暴发，出现涝灾
发姣haau4	卖弄风骚
发威	显威风
发嬲nau1	生气
发市	开市，有生意
发开口梦	指说梦话
发恶	兇巴巴的
发惊青	①急不可待的样子②惊恐万分
发散晒	到处派出人员，分派人手去寻找
发晒	拥有许多产业、飞黄腾达
发晒矛	紧急情况下没有了章法、主意
发梦	做梦
发梦游西湖——好景不长	做梦去旅游，当然像兔子的尾巴，长不了。
发梦话	①说梦话②胡说，也说成「发开口梦」
发梦谂唔倒	这事连做梦也想不到
发沤豆	指发愣，呆呆的。
发烂渣	蛮横，无理取闹
发牙痕	①指閒谈，东拉西扯②骂人牙齿发痒，说此不该说的话
发疯佬	患了麻风病的男子
发瘟	①家禽出现瘟疫②人昏了头
发癫	①发神经②精神病患者
发矛	有点失去理智，乱来
发神经	指精神病发作，多用于骂人
发穷恶	因为穷而发横，不讲理
发细路哥脾气	耍小孩子脾气
发羊吊	发羊角疯，指患了癫痫病
发老姣	指一些上了年纪的妇人还要卖弄风骚
发老婆寒	说人想娶老婆想得快要发疯了
发花癫	因失恋或思慕异性而出现精神错乱
发行力	使劲，用尽全力
发誓当食生菜	许愿发誓就像吃青菜那样随便
发软蹄	①双脚发软，站立不稳②引申为摇摆不定，无主见。
发酒寒	饮酒后的种症状，发冷、头痛、呕吐。
发钱寒	渴望发财，想钱想得要命
发青光	①害了青光眼②骂人不长眼，看不见东西
发鸡盲	讥讽別人看不见东西或熟视无睹
受人二分四，畀人使穿鼻	给人做伙计，为人做牛做马。
受人二钱七，做到气都咳	俗话说，受人钱财，替人消灾，当然还要看「钱」与「灾」是否成比例
受埋	算我一份子吧
受抠	接受异性之邀约、追求。
受软唔受硬	有些人吃软不吃硬，来个软硬兼施，如何
变咗	变了样、改变了
变屎醬	①食物变得很烂，不能吃的状态②把人揍扁
变晒	很大的变化
变返	变回原来的的样子
叠起佢	把它堆好，放整齐
口䉺䉺	肚中无油，口感较差。
口传家书——言而无信	比喻那些说得到做不到，没有诚信的人
口同鼻拗	指争执双方没有什么凭据和证人，很难分出输赢
口咂咂	嘴巴不停，吃这吃那
口哑哑	回答不出，哑口无言。
口唔对心	口是心非，说一套，做一套
口噏噏	喋喋不休，说个不停
口在路边	指逢人便问路
口多	饶舌
口多多	多嘴多舌，爱得罪人
口密	保守机密
口寡	口感淡淡的
口寡寡	生病或不舒服时口感差，不想吃东西。
口快快	脱口而出，不顾后果
口擘擘	张大嘴巴气喘吁吁
口无遮拦	比喻不分场合、不看人乱说话，不该说的话也照说
口有钩	嘴如钩，比喻专在人家吃美食的时候赶到。
口果	零食中的各种凉果
口桠角	指嘴角
口水佬	①口不停地说，还喜欢夸张地说一些大话②夸夸其谈者。
口水喷喷	①比喻一个人话特別多②说话时的唾沫溅到人
口水多过茶	比喻一个人只会说不会干
口水溦	①唾沫星子②別人的片言只语
口水肩	小孩用的围嘴儿
口水花	唾沫星子
口水花喷喷	指某人只会耍嘴皮子，没有真本事
口水蚊	①唾沫、唾液②別人的片言只语。
口淡淡	身体欠佳，没有食欲。
口爽爽	说得好听，从不兌现
口爽荷包𣲷	口头上讲得大方，要掏钱包时总是磨磨蹭蹭
口甜舌滑	形容油腔滑调。
口疏	不能保守秘密[注]另词溜口：洩露秘密
口疏疏	①嘴快②好传话③不守秘密。
口痕痕	①嘴巴痒痒，要说话才觉得舒服②老是说人家的不是。
口硬硬	口气强硬，毫不让人
口窒	说话不连贯[注]有时连用作「口窒窒」
口窒窒	欲言又止，吞吞吐吐
口笠湿	零食、小食品、口果之类
口花	说话轻佻；没有根据地随便说话[注]有时连用作「口花花」
口花花	①言语轻佻②爱说俏皮话
口轻轻	随便许愿，爱说大话
口邂hai4脷倔	形容不思饮食，食不知味。
口齿	①信用。例：你无口齿。②说话。例：口齿伶俐[注]另：实牙实齿=非常有信用
古仔	故事
古古惑惑	①与众不同，特殊的②狡诈的、欺骗的。
古古缩缩	指某些人不开朗、内向，不爱答理人
古怪	怪怪的
古灵精怪	形容小孩稀奇古怪的行为。
古老十八代	①思想守旧②以前老土的东西
古老当时兴	有些人爱把以前的东西翻出来当作时髦的来用。
古老石山	①思想跟不上时代的步伐②不爱说话、呆板而又固执的的人
古肃	不开朗
句句说话有骨头	说的每一句话都是別有用心的
句（顶到行	以前父母的话对孩子是「一言九鼎」，现在孩子对父母的话是「一言九顶」
另计	另外算
只手休礼拜	光看別人干，自己不动手
只手只脚	单人独斗
只抽	一个对一个（打架）
只眼开，只眼闭	睁一只眼闭一只眼
只眼生嚟衬	眼睛不看路，就好像用来摆设的那样。
只见屎窟喐，唔见米饭开	只见屁股不断动，不见把饭做好，比喻做徒劳无功的事情
叫唔喐	喊他他也不动
叫生晒	老是喊人家的名字干嘛呢
叫起手	要用的时候。也说成「要起手」
叫鸡	召妓。
叫齐嚟	把所有人都叫来
叭叭声	汽车按喇叭时发出的声音
叭叭纸	①发令纸，有火药在里面，能发出响声②引申为青春痘
可ko1恼也	原指粤剧借用宫腔的摹音语。①气死人、令人气愤②岂有此理。
可以谂谂	这事可以考虑一下
台台凳凳	①桌椅板凳②家具的统称
右乜嘢	①没有什么②没事儿，还好③（人）可靠，忠实
右便	右面
右手便	右边
右闸	右后卫
司线屠牛	象棋术语，意为串起来一起宰杀
叹下	享受一下
叹世界	享清福，享受人生
叹惯	享受惯了
叹空调	享受空凋的凉意
叹返下	指享受下
叹餐饱	①休息了很长的时间②吃一顿好的，吃一餐饱的
叻仔	聪明、机灵的男孩
叻到吻	比喻聪明到极点，但常作贬义用
叻唔切	形容高傲自大的人
叻女	聪慧的女孩
叻归边	只是在某一方面聪明过头
叻晒	样样都聪明能干
叻过头	聪明反被聪明误
叻过龙	聪明反被聪明误
叽叽咕咕	意指作不轨的，不正派的密谋。
各人行各路	每个人都有自己的路，靠自己去走。
各处乡村各处例	①指每个地方都有每个地方的规矩②正所谓入乡随俗
各安天命	你们听天由命吧。
各式其式	形容人们爱做什么就做什么
各式各样	品种繁多，各种各样
各施各法	每人在完成任务时都会找到适合自己的方法。
各米入各锅	比喻每个人的劳动报酬进入各人的钱包
各自执生	你们各人自己看着办吧
各花入各眼	所谓萝卜青菜，各有所爱，喜欢什么花，随便。
各行各路	①各走各的路②每个人的前途是不一样的，要靠自己去走出一条路。
合晒心水	完全合口味，正对劲儿
合晒荷车	正合我意愿，路子很对。「荷车」是二胡调弦时发出的声音，合弦即合吾意
合眼	①刚睡一会儿②看得过去
合衬	配合得合适
吉人自有天相	运气好的人连天都会帮他。
吊住	跟踪
吊住佢	对他进行盯梢。
吊住屘	在后面悄悄地盯着
吊吊揈	很不稳当②事情办得还没有著落。
吊味	调味、提味
吊实	掛在那里
吊尾	盯梢
吊晒佢瘾	讲上段，不讲下段，把他的兴趣吊起来
吊瘾	提起兴趣却又满足不了
吊瘾头	瘾性发作时却不予满足
吊脚	衣服边角吊起来
吊起嚟卖	形容商家货品不愁销路，故意吊起价格，态度傲慢
吊钉	①欲坠②难办、刁难③少有的
吊颈	上吊自杀
吊颈分	差一点点就可以及格的分数。
吊颈死	上吊死了
吊颈都要唞气	忙到死之前也要松口气
同人唔同命，同遮唔同柄	各人际遇不同，无可比拟正所谓人比人，比死人
同你挽鞋	给別人提鞋子，形容输给了別人，很没面子的事也只好去干
同你死过	跟你拼了。
同佢	跟他
同佢行	①跟他走在一块②引申为与他谈恋爱
同埋	和，同，一块儿
同埋佢	和他一起
同声同气	说话的声调、语气都是一样的，引申为①大家互相支持、帮助②同一个鼻孔出气。
同屋住	①同住在一所房子中的各户人之间互称②夫妻对外戏称
同屋共主	指在同一屋簷下共同生活。
同我定	不要慌慌张张，镇定一点，没事。
同我扯	你给我滚
同捞	一起混
同煲同捞	形容亲密合作，患难与共
同班辈	年纪、地位、行业都相近的一班人
同行如敌国	所谓文人相轻、商人相斗就是这个道理
同食	一起吃
后上	①从后追上、插上②下半场才被换上场的球员
后便	后头、后面
后嚟变晒	后来全变了
后备	替补队员。
后屘	后来
后屘枕	后脑勺
后底乸	后娘、继母
后底爷	继父（后底：后来）。
后抽	起后腿
后抽	①用脚后跟磕球②指用后脚去踢球
后日	后天
后枕	后脑勺
后柱	后门柱
后生	①年轻的②跟班的③小伙计
后生仔	小青年、小伙子
后生仔女	年轻人的统称。
后生女	年轻姑娘
后生瓜	称年富力强者
后生细仔	①小青年，年纪轻轻②指年富力强的人
后生贪风流，老来眼泪流	年轻时风流快活不节制，到老时后悔也来不及了
后脚	动物的后足，借喻人，比如前脚来后脚走
吓一惊	吓了一跳。
吓亲	受了惊吓
吓亲人	吓坏人了
吓到傻晒	因惊恐被吓得呆呆的
吓懵	吓得傻乎乎的
吓懵咗	吓蒙了
吓窒	吓得说不出话来
吓窒晒	被吓得裹足不前，不敢动
吓餐死	吓了个半死。
吓鸡	吓唬人。
吕太后请酒——恶饮	这个酒不好喝，令人坐立不安，甚至人头落地，真的难喝
君子让头盘	原指下棋，后引申为处世，比喻遇人让三分。
吞口水养命	穷得叮当响，要靠口水来活命
吞噬	撕咬
吞扑	偷懒
吞晒	都咽下去了
吟吟沉沉	唠唠叨叨，自言自语
吟啲吟啲	两人在窃窃私语。
