𫵱	cat6 【俗】男生殖器。
冇胆	mou5 daam2 没胆量；胆小。我呢个人好～嘅。(我这人胆子很小的。)
冇脑	mou5 nou5 【贬】没头脑；傻。
冇行	mou4 hong4 【喻】(事情)没希望；无所收获(行：本指行情)。卒之都系～。(最后还是没希望。)
冇觉眼	mou5 gok3 ngaan5 同「唔觉眼」。
冇解	mou5 gaai2 不知为什么；奇怪；莫名其妙。你个人做嘢乜咁～嘅！(你这人做事怎么这么莫名其妙的呢！)
冇计	mou5 gei3 不计较。多啲少啲～喇！(多点儿少点儿不计较了！)
冇计	mou5 gai3-2 没办法。～喇，唯有系噉啦。(没办法了，只好这样吧。)
冇记性	mou5 gei3 sing3 【贬】健忘；记性差。年纪大咗就～，你有怪莫怪啊！(年纪大了记性就差了，你多多包涵！)
冇遮冇掩	mou5 ze1 mou5 jim2 没有遮拦；裸露。呢个冲凉房～，点冲倒凉㗎。(这个洗澡间没遮没拦的，怎能洗澡呀。)
冇问题	mou5 man6 tai4 同「冇所谓」。
冇阴功	mou5 jam1 gung1 原义是没有阴德(迷信说法认为在阳世做好以在阴间记功，作为下一辈子投生得好或差的依据)，即造孽，转义为凄惨、可怜(一般用于感叹)。～啰，畀啲衰人打成噉。(可怜哪！让那坏蛋打成这个样。)[又省作「阴功」]   梳扶【外】so1 fu4 舒服。瞓喺度咁～，唔使做啊？(躺在这儿这么舒服，不用干活吗？)[英语soft]
冇雷公咁远	mou5 leon4 gung1 gam3 jyun5 【熟】【喻】字面意思是在没有打雷的地方那么远，指很远；遥远。你走到～，我点揾你啊？(你跑得那么远，我怎么找你呀？)
冇鞋挽屐走	mou5 haai4 waan2 kek6 zau2 【熟】有鞋的穿着鞋跑，没鞋的用手提着木拖板跑(因为穿木拖板跑不快。屐：木拖板)。意思是说赶紧离开，惟恐避之不及。睇白大雨响嗰便过嚟，啲人个个～。(眼看大雨从那边过来，人们全都能有多快就跑多快。)
冇饭瘾	mou5 faan6 jan5 不爱吃饭；没胃口。我个仔～嘅，瘦蜢蜢噉。(我儿子吃饭提不起胃口，瘦猴似的。)
再试	zoi3 si3 表示动作或状态重复；再。你若果～系噉，就唔原谅㗎喇！(你如果再这样，就不原谅了！)
写字楼	se2 zi6 lau4 办公楼(特指商用办公楼)。
冚	ham6 两物之间接合得严。将个盖扱～啲。(把盖子盖严点儿。)│闩～道门。(把门关严。)│呢两只机件对得好～。(这两个机件吻合得很好。)
冚	kam2 盖。大被～过头。(用被子盖着头。谓酣然而睡。)│攞个盖～住啲餸，咪畀乌蝇褛。(拿盖子盖住菜，别让苍蝇爬了。)│用边只油嚟油至～得住原先嗰只色啊？(刷哪种油漆才能盖住原先的颜色？。)
冚	kam2 沉重的、成堵的物体向一个方向迅速倾倒。成捧墙～落嚟。(整堵墙倒下来。)│一个大浪～埋嚟(一个大浪打过来。)
冚	kam2 掴。我～你啊喇！(看我不掌你的嘴！)
冚(咸)𠾴唥	ham6 baang6 laang6 表示总括全部；全。呢啲钱～系你嘅。(这些钱全是你的。)│啲金鱼～死清光。(那些金鱼全死光了。)
冚(咸)啲	ham6 di1 同「咸(冚)𠾴唥」。嗰班友～都系缩头龟嚟嘅！(那帮家伙全都是胆小怕事的缩头乌龟！)
冚(咸)家铲	ham6 gaa1 caan2 【詈】【俗】诅咒人全家死光(咸：全部；铲：铲除)，是极度辱骂人的称呼。①作动词用，指全家死光，用於咒骂别人。你～啦！(你全家死掉吧！)②作名词用，指令人讨厌的人、该死的人，量词是「个」或「条」。呢条～！(这个该死的人！)│正一～。(他真是个 全家该死的贱人。)③作感叹词用，表示愤怒、不悦、惊奇、失望等。呢镬～啦！(这次真的会有很大的麻烦啊！)│～你话，够胆踩我个场？(岂有此理！斗胆来我的地方捣乱？)[「冚家」一词有全家之意，但用「冚家」来作词语都是不带尊重，属贬义的词语。引申出来的词语计有：冚家拎：不明所以的词语组合，以骂人为主。香港有一名为ＬＭＦ的乐团就用了此三字作为他们的主打歌名称。歌曲中夹杂了很多的粗口，以讽刺香港的娱乐记者，又称「狗仔队」的跟踪行为为主题。冚家富贵：本意是全家都富贵，但其实却带反话意味，意谓低下贱格。作骂人用。同时，亦有「全家死光光」之意，如「我要佢冚家富贵！」意为「我要他全家四死光光」，相关出处请参阅周星驰电影《唐伯虎点秋香》。冚家祥：本意是全家祥和，但实质意义同样是反话，有全家不安之意。作发泄之用。冚家短：颠倒自「冚家祥」，意谓全家短命。作骂人用的。]
冚(咸)巴唥	ham6 baa6 laang6 同「咸(冚)𠾴唥」。佢哋～走晒。(他们全走了。)
冚2(咸)	ham6-2 同「咸(冚)𠾴唥」。一朕风嚟，～都吹走晒。(一阵风吹来，全都吹走了。)
冚床布	kam2 cong4 pou3 床罩(冚：盖)。用以覆盖床上被具的织物，以保持被具及床的清洁。
冚斗	kam2 dau2 倒闭(冚：盖住)。
冚档	kam2 dong3 同「冚斗」。
冚盅	ham6 zung1 带盖的罐子(冚：盖)，多为陶质。可用以贮物，也可作烹饪。
军	gwan1 【喻】大群(一般只用于「成～人」这个短语中)。一下嚟咗成～人。(一下子来了一大群人。)
军佬	gwan1 lou2 对军人不严肃的称呼。
农民头	nung4 man4 tau4 【贬】对农民不友好的称呼。
冠	gwaan1 鸟类头上的红色的肉质突起；冠子。呢只鸡嘅～咁红嘅。(这只鸡的冠子这么红。)[此字一般读音官，在此处读音则较特殊]
冤	jyun1 极臭。唔止系臭，直情系～！(不止是臭，简直是臭不可闻！)
冤崩烂臭	jyun1 bang1 laan6 cau3 【贬】臭不可闻；臭气熏天。个屎坑～，我唔明你哋点顶得顺。(这个茅坑臭气熏天，我真不明白你们怎么受得了。)
冤戾	jyun1 lai2 冤枉(别人)。你冇证据唔好立乱～好人啊。(你没有证据别胡乱冤枉好人啊。)[「戾」字另有书面语音leoi6(音泪)]
冤臭	jyun1 cau3 极臭。
冧	lam3 倒塌。～楼(楼房倒塌)│成埲墙～咗。(整堵墙塌了。)
冧	lam1 蓓蕾，花蕾(含苞未放的花)。呢樖花出咗3个～。(这棵花长出了3个花蕾。)
冧宫头	lam1 gung1 tau4-2 「宀」(宝盖头。)和「冖」(秃宝盖头)。「冧」、「宫」二字即此二部首的代表字。
冧把	lam1 baa2 【外】号码；数码。记住嗰栋楼嘅～。(记住那幢楼的号码。)│个个都笠个～落去。(每一个都给编上个号码。)[英语number]
冧档	lam3 dong3 垮台你个经理咁乞人憎，实～㗎。(你的经理这么讨人厌，肯定垮台。)
冧篷头	lam1 pung4 tau4 同「冧宫头」。
冧酒	lam1 zau2 【外】兰姆酒。一种甜酒。[英语rum]
冬	dung1 冬至。过～(欢度冬至)│「～大过年」(民谚。冬至比春节更重要)│再过两日就系～嘞。(再过两天就是冬至了。)[以前广州人非常看重冬至]
冬瓜盅	dung1 gwaa1 zung1 以冬瓜、肉类做成的菜肴。用一节去掉瓤的冬瓜竖放作容器，内盛各种肉类及佐料，经充分蒸煮而成。是以冬瓜作「盅」，故名。
冬瓜豆腐	dung1 gwaa1 dau6 fu6 【喻】意外的事；灾祸等。如果佢有乜～，我就捉住你嚟问！(他要有什么三长两短的，我就唯你是问！)
冬节	dung1 zit6 冬至。
冬菇	dung1 gu1 香菇。
冰	bing1 冷饮。食～│～室(冷饮店)。
冰室	bing1 sat1 专门提供冷饮的店铺(冰：冷饮)。广州～。
冰片糖	bing1 pin3 tong4 一种优质红糖。呈半透明，如冰，故称。
冲凉	cung1 loeng4 洗澡。你有冇～㗎？个身一𩗴𡃴嘅！(你洗澡了没有？身上一股味儿！)[广州夏季炎热，人们洗澡以取凉，故称。泛指一般的洗澡，包括冬天用热水洗澡也称为～]
冲凉房	cung1 loeng4 fong4-2 盟洗室；洗澡间。喺广州，系人屋企都有～㗎喇。(在广州，每个人家里都有盥洗室。)
冲滚水	cung1 gwan2 seoi2 灌开水(滚水：开水)。水滚喇，～啦。(水开了，灌开水吧。)
冲茶	cung1 caa4 ①沏茶。快啲～畀客人。(快点沏茶给客人。)②灌开水。
冲菜	cung1 coi3 一种泡菜，用球茎甘蓝等腌制而成。
冷	laang5-1 【外】毛绒。～衫(毛绒衣)│～裤(毛线裤子)[法语laine的音译]
冷亲	laang5 can1 同「冻亲」。
冷天	laang3 tin1 天气冷的时节；冬天。
冷巷	laang5 hong6-2 ①两座建筑物之间的狭窄通道。②建筑物内部的走廊(～般指暗廊)。
冷手执个热煎堆	laang5 sau2 zap1 go3 jit6 zin1 deoi1 【喻】【熟】不须努力而意外地得到好处(煎堆：一种油炸食品)。我哋舞嚟舞去得个吉，倒转畀阿卓～。(我们忙来忙去一场空，反而让阿卓捡了好处。)
冷饭	laang6 faan6 剩饭。炒～│琴晚剩翻好多～。(昨晚剩下很多饭。)
冻	dung3 冷；凉。广州嘅冬天唔系几～嗻。(广州的冬天没多冷。)[温度略低在广州话即可称为「～」]
冻亲	dung3 can1 着凉(亲：表示遭受的词尾)。夜晚瞓觉冚好被，因住～啊。(晚上睡觉要盖好被子，小心着凉了。)
冻冰冰	dung3 bing1 bing1 冷冰冰。你只手～，仲唔着多件衫！(你的手冷冰冰的，还不多穿件衣服！)
冻天	dung3 tin1 同「冷天」。
净系	zing6 hai6 表示除此以外没别的；只是；仅仅是。～呢度就唔止呢个数啦。(光是这儿就不止这个数了。)│总共～得咁多至噃。(总共只有这么多。)[又作「净」]
凄凉	cai1 loeng4 可怜。嗰三百文要养成头家，真系～！(那三百块要养全家，真是可怜！)[普通话「凄凉」形容景物或气氛凄惨，与广州话不同]
准决赛	zeon2 kyut3 coi3 半决赛。听日就要进行～嘞。(明天就要进行半决赛了。)
凉	loeng4 凉快；凉爽。今日咁～，唔使开风扇喇。(今天这么凉快，不用开风扇了。)[普通话「凉」指冷，与广州话有程度上和感情色彩上的不同]
凉水	loeng4 seoi2 以某些带凉性的食物或药物熬成的饮料，如绿豆汤、竹蔗水等，为暑天饮料。
凉浸浸	loeng4 zam3 zam3 ①极凉快。个山窿入便～，好似入咗个空调房噉。(那个山洞里极其凉快，好像走进了装有空调机的房子。)②冷。呢度～，快啲走啰！(这里冷飕飕的，快点儿走吧！)
凉瓜	loeng1 gwaa1 苦瓜。北方俗称「锦荔枝」、「癞葡萄」。葫芦科。一年生草本。叶掌状深裂，淡绿色。花黄色。果纺锤或长圆筒形，果面有瘤状突起；成熟时黄赤色。果内鲜红色，有苦味；瓤鲜红色，味甜。未熟嫩果作蔬菜，成熟果瓤可生食。因「苦」字不吉，广州人有所避忌，又因此瓜性寒凉，故称。
凉茶	loeng4 caa4 一种以药材熬煎的饮料、功能解暑、降火。为广州人夏季常用的饮料。
凌凌林林	ling4 ling4 lam4 lam4 ①众多脚步声。大家～行咗上楼。(大家踢踢腾腾上了楼。)②迅速地做事、收拾东西等的声音。
减	gaam2 从器皿中往处拨(一般用于饭菜等)。将啲餸～晒落碗。(把盘子里的菜全拨到碗里。)
凑	cau3 带(小孩)。～个仔翻幼儿园。(带儿子回幼儿园。)│我个仔好恶～嘅。(我的儿子很难带的。)
凑仔婆	cau3 zai2 po4-2 带孩子的女人，特指专带孩子的老年保姆(凑仔：带孩子)。我而家一日喺屋企做～，真系闷到死！(我现在整天在家里带孩子，真是闷得慌！)
凑埋	cau3 maai4 凑起来(埋：合拢)。冚𠾴唥～得咁多。(全部凑起来也只有这么多。)
凛抌	lam5 dam2 连续不断地。广告一卖出去，啲订单就一嚟嘞。(广告一做出去，订单就不断地来了。)
几	gei2 问数量的疑问代词；多少。你个仔～大啦？(你儿子多大了？)│仲有～公里？(还有多少公里？)[普通话「几」也作疑问代词，但用法没有广州话那么广泛。]
几	gei2 表示对程度的疑问；多。有～大？(有多大？)│唔知要～长先至够。(不知道要多长才够。)
几	gei2 ①表示程度高(比「好」的程度略低)；你嚟得～早啊。(你来得很早呀。)│佢做得都～好。(他干得还挺好。)②用于感叹句中，表示程度高；多么。你睇人哋～叻！(你看人家多有能耐！)│佢～识叹啊！(他多会享受！)③表示任何程度；无论多么。～高都照擒上去。(不管多高都照样爬上去。)│等～耐都要等落去。(不论等多久都要等下去。)
几十岁	gei2 sap6(jaa6) seoi3 老，上年纪。有啲嘢～都可以从头学嘅。(有些东西上了年纪也可以从头学。)│你都～人嘞，仲同啲后生仔女玩埋一齐嘅？(你已经是个上年纪的人了，还跟那些年轻人一起玩？)
几咁	gei2 gam3 用于感叹句中，表示程度高；多么。你都唔知呢单嘢～恶作！(你都不知道这事儿多难搞！)│～靓！(多么漂亮！)
几回	gei1 wui4 表示接近达到某种程度或状态；几乎；差点儿。～跌咗落去(几乎掉下去了。)
几多	gei2 do1 ①问数量的疑问代词；多少。一共有～人？(一共多少人？)②表示不定的数量；多少。我做得～做～。(我能干多少干多少。)│～都得。(多少都行。)
几时	gei2 si4(-2) ①什么时候。②无论什么时候。你～嚟都得。(你什么时候来都行。)
凤尾鱼	fung6 mei5 jyu4-2 凤鲚。亦称「烤子鱼」。鱼纲，鳀科。
凳仔	dang3 zai2 矮凳；小凳子。
出世	ceot1(cyut1) sai3 出生。我喺香港～嘅。(我在香港出生的。)
出世纸	ceot1 sai3 zi2 出生证。登记户口要～㗎。(登记户口要凭出生证。)
出便	ceot1(cyut1) bin6 外边；外面。你响～等下我。(你在外面等我一下。)[又作「出边」]
出双入对	ceot1(cyut1) soeng1 jap6 deoi3 俩人总是走在一起。我见阿欧仔同霞妹～噉，佢两个拍拖咩？(我看见小欧子跟霞妹总在一块儿，他们俩谈上了吗？)
出嚟	ceot1(cyut1) lai4 出来。你即刻～！(你马上出来！)│一啲都倒晒～。(全部都倒出来。)
出声	ceot1(cyut1) seng1 说话；吭声。到时候佢会～嘅。(到时候他会说话的。)
出奇	ceot1(cyut1) kei4 奇怪。你讲啲话又系～嘅，你嚟得点解我就唔嚟得？(你说话也奇怪，你能来为什么我就不能来？)[普通话「出奇」指不平常，与广州话不同]
出山	ceot1(cyut1) saan1 出殡(专用于土葬者。山：坟场)。
出年	ceot1(cyut1) nin4(-2) 明年。
出年时	ceot1(cyut1) nin4(-2) si4 明年。
出恭	ceot1(cyut1) gung1 【雅】大便。我惯咗朝早～。(我习惯早上大便。)[此语常见于明清小说，源自科举考试时考生中途上厕所要领取「出恭入敬」牌]
出术	ceot1(cyut1) seot6-2 【贬】使出诡计；使出见不得人的手段。我唔惊你～㗎！(我不怕你耍诡计！)
出横手	ceot1(cyut1) waang4 sau2 【贬】使出不光彩的手段(以达到目的)。佢实系～啫，唔系点到佢话事噃。(他一定用了不光彩的手段，要不怎么轮到他说了算。)
出水	ceot1(cyut1) seoi2 把瓜菜等放进开水中稍微煮一下即捞起(为了除去其中的苦涩味)。
出水纸	ceot1 seoi2 zi2 提货单。
出猫仔	ceot1(cyut1) maau1 zai2 【喻】【贬】(考试等)作弊；做手脚(猫仔：小猫)。响帐簿度～好容易嗻。(在帐本上做手脚是很容易的。)
出界	ceot1(cyut1) gaai3 (球)出线外(边线或底线)。个波经已～。(球已经出了线外。)
出痘	ceot1(cyut1) dau6-2 出花儿。中医学称「痘疮」，通称「天花」。
出粮	ceot1(cyut1) loeng4 发工资，领工资。打工仔最开心就系～嗰日。(做工的人最开心的就是发工资那天。)
出街	ceot1(cyut1) gaai1 上街。礼拜日～，人多到死！(星期天上街，人可多了！)
出门	ceot(cyut1) mun4 出嫁。佢个女出咗门喇。(他女儿出嫁了。)[也有外出的意思，则同于普通话]
出面	ceot1(cyut1) min6-2 【喻】毫不掩饰地；露骨地。系人都睇得出，小陈中意小李中意到～。(谁都看得出来，小陈喜欢小李，毫不掩饰。)
出骨	ceot1(cyut1) gwat1 【喻】【贬】露骨。你嬲人都唔使嬲到咁～㗎。(你对人恼火也不用这么露骨嘛。)
出鹩哥	ceot1(cyut1) liu1 go1 同「出猫仔」(鹩哥：八哥)。
出麻	ceot1(cyut1) maa4-2 麻诊，俗称「痧子」、「瘄子」。由病毒引起的一种急性传染病，多见于小儿。)
凿	zok6 (用指节)敲击。～咗佢个头一下。(敲了一下他的头。)
凿大屎眼	zok6 daai6 si2 ngaan5 【俗】【喻】硬充好汉，打肿脸充胖子(屎眼：屁眼)。明明做唔倒都要～，睇佢点收科！(明明做不到也要硬充好汉，看他怎么收场。[又作「凿大」]
刀切豆腐——两便光	dou1 cit1 dau6 fu6 loeng5 bin6 gwong1 【歇】【喻】【贬】两面讨好(两便：两面)。
刁蛮	diu1 maan4 【贬】任性而刁钻，不讲理(一般用于女性)。个女畀你纵到～到死。(女儿让你惯得极为任性、不讲理。)
分分钟	fan1 fan1 zung1 所有时间，每时每刻。我而家～都注意住㗎。(我现在每时每刻都在注意着。)
分甘同味，独食难肥	fan1 gam1 tung4 mei6 duk6 sik6 naan4 fei4 【喻】这是劝喻人有利益当与别人一同分享(肥：胖)。[「味」与「肥」押韵]
划	waa1 划(船)。～艇[和普通话的「划」(huá)是一样的，但在广州话中与「计划」的划字读音相去很远]
则纸	zak1 zi2 【外】支票。[英语check]
刚	gong6 (蟹、虾等的)螯。食蟹至好食蟹～，肉最多。(吃螃蟹最好吃蟹螯，肉最多。)
初不初	co1 bat1 co1 同「初初」。
初初	co1 co1 早先；最初。呢件事～系老杨提起先嘅。(这件事最初是老杨先提起的。)
初哥	co1 go1 初次做某种事情的人；生手。做呢啲你就系～喇！(干这个你就是生手了！)
初嚟甫到	co1 lai4 bou6 dou3 刚来到不久(甫：刚刚)。我～，乜都唔知。(我刚来，什么都不知道。)
初时	co1 si4 早先；最初。
判(拚)	pun3 粗略地估价出售。费事着件计，成堆500文～畀你啦。(不费工夫逐件算了，整堆500块卖给你吧。)
刨	baau4 【喻】钻研书本知识。一日就见佢喺度～书。(整天就看见他在啃书本。)
利	lei6 尖利；锋利。嗰块玻璃好～㗎，因住割亲手。(那块玻璃很尖利，小心割破手。)
利利市市(是是)	lai6 lai6 si6 si6 大吉大利。择个好日子至结婚，～啊嘛。(挑个好日子才结婚，就大吉大利了。)
利市(是)	lai6 si6 吉利。通胜话听日出门唔～。(通书上说明天出门不吉利。)
利市(是)	lai6 si6 ①压岁钱。细路仔最中意过年㗎嘞，有～𢭃啊嘛(小孩子最喜欢过年了，有压岁钱拿嘛。)②每逢红白喜事为酬谢亲友帮忙而赠送的钱。③老板发给员工的奖金。
利市(是)封	lai6 si6 fung1 装「利市」的小红纸包或小红纸袋。[参见「利市(是)」利文读lei6]
刮	gwaat3 【喻】催促(人起床)。朝朝早都要人～佢先起身。(每天早上都要人催逼他才起床。)
刮削	gwaat3 soek3 【喻】【贬】剥刮钱财。加班费梗要照发，唔通仲～咗去咩！(加班费当然要照发，难道还能克扣掉吗！)
刮塘	gwaat3 tong4 清塘。定期清理鱼塘，挖走过多的淤泥，撒放药物等。又指清塘前把鱼塘里所有的鱼(不论长大与否)全部加以捕捞。
刮粗龙	gwaat3 cou1 lung4-2 【喻】【贬】以不正当手段剥刮大笔钱财。
刮龙	gwaat3 lung4-2 【喻】【贬】以不正当手段剥刮钱财。呢间店好～嘅，第日唔好嚟。(这家店子敲得好厉害，以后别来。)
到	dou3 ①用在表示动作或状态的词语同其他词语之间，表示这动作或状态所达到的程度。普通话说「得」(de)。饮～块面红晒。(喝得脸全红了。)│眼瞓～死。(睏得要命。)②前一种用法省略了后面的词语，表示达到了很高的程度。佢嗰日恶～！(他那天凶得呀！)
到埠	dou3 bou6 到达(埠：埠头，即码头。但此词不限于指乘船到达)。
到眼	dou2 ngaan5 同「斗鸡眼」。[「到」是「斗」的变音]
制	zai3 愿意。1个月2000人工，你～唔～？(1个月工资2000块，你干不干？)│咁好喎，梗～啦！(这么好哇，当然愿意啦！)
制	zai3 限制地给予(只给予很小的数量)。～水│ ～电│～瘾(癖好受限制)
制1(掣)	zai3 泛指电源、自来水、煤气等的开关。电灯～│水～
制1(掣)	zai3 刹车装置。你架车嘅～灵唔灵？(你的车子刹车灵不灵？)
刷	caat3 【俗】大吃。呢只香蕉你～埋佢吧。(这只香蕉你把它吃了吧。)│出咗锒，去边度～番餐啊？(发了工资，到哪儿大吃一顿呀？)
刺(赤)	cek3 疼痛；刺痛。头～│畀火焫亲嗰度好～啊！(让火烫伤那地方好疼啊！)
刺(赤)	cek3 很冷。～到入心。(冷得刺骨。)
刺身	zi3 san1 【外】生吃用的鱼、虾肉。[来自日语]
剃面	tai3 min6 刮脸。我剃咗面就出门。(我刮了脸就出门。)
剃须	tai3 sou1 刮胡子。仲唔～，啲胡须长过辫喇。(还不刮胡子，胡子比辫子还长了。)
削	soek3 稀(不够稠)。底糕蒸到咁～，成汪水咁。(这块糕蒸成这么稀，像一滩水一样。)
削	soek3 松软；不结实(常用于指肌肉)。呢牌少运动，大髀肉都～晒。(这段时间运动得少，大腿上的肉都没那么结实了。)
削仔	soek3 zai2 【贬】模样清瘦的男青年；小白脸。
削坺坺	soek3 pet6 pet6 【贬】稀而烂(坺：糊状物的一团)。翻煮嘅饭～。(反复煮的饭稀烂稀烂的。)
前世唔修	cin4 sai3 m4 sau1 迷信认为一个人在他的前世没修下阴德，这一世也就没有好报应。这句话一般用于感叹世事时用，如某人行为不端、某人遭受灾祸等等，都可用此语表示慨叹的感情。
前便	cin4 bin6 前边，前面。我哋行去～啰！(我们到前边儿去吧！)
前嗰牌(排)	cin4 go2 paai4(-2) 同「先排(牌)」。听讲你～去咗天津？(听说你前一段时间到天津去了？)[又作「前一排(牌)」、「前嗰轮」、「前一轮」]
前尘往事	cin4 can4 wong5 si6 【雅】很久以前的往事。都系～嘞，唔好提喇。(都是陈年旧事了，别提了。)
前日	cin4 jat6 前天。
前晚	cin4 maan5 前天晚上。[又作「前晚黑」、「前晚夜」]
剑花	gim3 faa1 同「霸王花」。
剔	tik1 【外】勾号(√)。对就打个～，唔对就打交叉。(对就打个勾，不对就打叉。)[英语tick。]
剔	tek1 【外】打勾。你睇呢张货单，见啱就～起佢。(你看这张货单，见合适的就打勾。)[英语tick。]
剔土边	tik1 tou2 bin1 「土」旁(提土旁)。[又作「剔土旁」]
剔手边	tik1 sau2 bin1 「扌」旁(提手旁)。[又作「剔手旁」]
剥	mok1 剥。～蛋壳[与普通话意思一样，但语音上不十分对应]
剥光猪	mok1 gwong1 zyu1 【喻】【谑】象棋中把对方吃得只剩了个将(帅)或王。输都唔好输到畀人～啊！(输也不要输得让人吃剩个光杆司令吧！)
剥光猪	mok1 gwong1 zyu1 【喻】【谑】把衣服全脱光。班细路～喺度游水。(那群小孩脱得一丝不挂在那儿游泳。)
剥皮牛	mok1 pei4 ngau4 绿鳍马面鲀及其近似种属。北方人俗称「马面鱼」、「象皮鱼」、「剥皮鱼」。体长椭圆形，皮厚韧，食用前必须剥皮，故名。
副	fu6 用于成套的东西；套。一～梳化(一套沙发)│一～机器[普通话「副」也用于成套的东西，但使用频率比广州话低]
割禾	got3 wo4 割稻子。
劏	tong1 宰杀。 ～鸡│～猪
劏	tong1 切开(一般指切开比较大的口子)。喺中间～开。(从中间切开。)
劏光猪	tong1 gwong1 zyu1 同「剥光猪」。
劏死牛	tong1 sei2 ngau4 拦路抢劫。嗰个地方好多时有贼～，冇乜事唔好行去嗰度。(那个地方经常有贼烂路抢劫，没什么事不要走到那儿去。)
劖	caam5 小而尖的东西刺入；扎(不是人为的动作)。只脚～倒刺。(脚上扎了刺。)│顾住畀玻璃碎～亲手。(小心被碎玻璃把手剐了。)
劖	caam4 同「𥊼眼」。
劖眼	caam4 ngaan5 同 「𥊼眼」。我怕～(我怕刺眼)。
劘(咪)	mai1 用指甲掐；用小刀等刻。你买就买，唔好攞手指甲～我啲菜先得㗎！(你要买就买，别用指甲掐我的菜嘛！)│张枱畀细路～到花晒。(那桌子让孩子刻得斑斑驳驳。)[汉典音mo4]
力水	lik6 seoi2 力量；力度。你似乎争噉啲～噃。(你力量上似乎还差点儿。)│呢一下～好大㗎。(这一下力量很大的。)
力行鸡	lik6 hong4 gai1 【外】来航鸡(一种著名的卵用鸡)。呢个农 场净系养～嘅。(这个农场光养来航鸡。)[英语leghorn]
劝交	hyun3 gaau1 劝架。
加风	gaa1 fung1 同「打风2」。
动静	dung6 zing6 举止；姿态风度。睇一个人嘅～就睇得出佢嘅品性。(看一个人的举止就能看出他的品性。)│你有啲～唔好，冇礼貌。(你有一些举止不好，没礼貌。)
劫	gip3 涩。啲鸡屎果～嘅，点食啊？(那些番石榴是涩的，怎么吃呀？)
劲	ging6 ①【俗】水平高；好。呢幅画好～。(这幅画非常好。)②令人振奋的。嗰场足球真～。(那场足球赛真令人振奋。)
劳气	lou4 hei3 费神；耗费言词。你再～都冇用，我系按章办事。(你再多说也没用，我是照章办事。)
劳气	lou4 hei3 生气；发火。球证要个8号仔同对方龙门握下手，叫佢哋咪咁～。(裁判要8号跟对方的守门员握一下手，叫他们不要那么动气。)
劳烦晒	gwan2 gaau2 saai3 【敬】劳烦了(用于劳烦别人之后)。～咁多位！(劳烦诸位了！)
势	sai3 无论如何；怎么也……(后接否定词语，用于估测的句子，表示事情出乎意外)。～估唔到呢场波噉样输咗。(怎么也想不到这场球这样输了。)│三哥～冇谂倒会喺度见到阿娣。(三哥无论如何没想到会在这儿见到阿娣。)
势凶夹狼	sai3 hung1 gaap3 long4 气势汹汹的样子(夹：而且)。你～我就惊咗你嘅哩咩？(你气势汹汹的我就怕你了吗？)
势色	sai3 sik1 形势；情势。佢一睇～唔对，即刻走人。(他一看情势不对头，马上溜了。)
勤力	kan4 lik6 勤奋。佢读书嗰时咁～，后尾做嘢又系咁～。(他念 书那个时候那么勤奋，后来工作也是那么勤奋。)
勾	ngau1 【谑】岁。你都成五十～啦。(你也上五十岁了嘛。)
勾佬	ngau1 lou2 【贬】找野男人；勾引男人。
勿歇	mat6 hit3 不断地；不停地。佢一自打仔，把口仲一自～噉闹。(他一边打孩子，嘴巴还一边不停地骂。)
匀	wan4 用于做事情等；次、趟。行两～│今～唔掂喇！(这回不行了！)
匀洵	wan4 seon4 均匀。油色要油得～啲。(上色儿要上得均石点儿。)
包剪𢱕	baau1 zin2 dap6 同「呈寻切」。
包枱	baau1 toi2 【谑】原意是把整桌饭菜包下来，转指最后把吃剩的饭菜吃光。好喇，剩低你嚟～喇！(好了，剩下的你全包了吧！)
包种	baau1 zung2 发面。含有酵母，做包子需用故称。
包粟	baau1 suk1 同「粟米」。
包顶颈	baau1 ding2 geng2 总是跟人顶嘴、抬杠的人；不肯听从训诫的人(顶颈：顶嘴)。
化	faa3 对世事等看得透；思想开通。事到如今，乜都～喇！(事到如今，什么都看透了！)
化化声	faa4 faa2 seng1 水流声。[普通话用「哗」象水声。广州话「化」同「哗」的普通话音、广州话音都不相同]
化学	faa3 hok6 易坏的；质次的。呢张椅咁～㗎，噉就散咗。(这张椅子怎么这么差，这就散架了)[早期的赛璐珞制品以「化学」为标榜，但极易破碎，故有此说]
化学公仔	faa3 hok6 gung1 zai2 【喻】【谑】【贬】原指赛璐珞制成的洋娃娃，喻吃不了苦、经不起劳累或禁不住摔打的人。我即估你有几猛，原来亦系个唔禁撞嘅～啫！(我还以为你多有能耐，原来也是个不禁碰的泥人儿！)[参见「化学」]
化水	faa3 seoi2 【喻】减少而最后变为零。呢铺即估有赚，谁不知又～。(这回还以为能赚，谁知又没了。)
化水	faa3 seoi2 洇；墨水等在纸上渗开。呢只纸～嘅。(这种纸会洇的。)
化算	faa3 syun3 合算；划得来。由呢度坐飞机去海南岛，几～㗎。(从这儿坐飞机到海南岛，挺划算的。)[这是对北方话「划算」的摹音]
化骨龙	faa3 gwat1 lung4 【喻】【谑】小孩子。原指一种传说中的动物，人如误食之，会化为血水，喻孩子使父母呕心沥血。
匙(持)羹	ci4 gang1 同「羹」。
匙羹白	ci4 gang1 baak6 一种植株很大的白菜，叶柄肥厚，柄端弯曲，有如瓷制汤匙，故名(匙羹：汤匙)。[又作「匙羹菜」]
